name_a,name_b,score
chicken,water,-0.012
parsley,salt,0.0855
parsley,thyme,0.2325
parsley,turkey,0.0477
parsley,water,-0.0111
pepper,thyme,0.2197
pepper,turkey,0.0739
salt,thyme,0.098
salt,turkey,-0.0325
thyme,turkey,0.1036
thyme,water,0.014
turkey,water,-0.0224
honey,lemon,0.0775
honey,water,0.0252
lemon,water,0.0146
basil,garlic,0.245
basil,milk,-0.1225
basil,mozzarella cheese,0.331
basil,onion,0.0971
basil,oregano,0.3679
basil,parmesan cheese,0.3093
basil,parsley,0.154
basil,ricotta cheese,0.2308
butter,milk,0.1918
butter,mozzarella cheese,-0.1166
butter,oregano,-0.1164
butter,parmesan cheese,0.0306
butter,ricotta cheese,-0.0401
chicken,milk,-0.1005
chicken,mozzarella cheese,0.0324
chicken,oregano,0.0899
chicken,parmesan cheese,0.1047
chicken,ricotta cheese,-0.0727
flour,garlic,-0.1866
flour,milk,0.2712
flour,mozzarella cheese,-0.1214
flour,oregano,-0.1141
flour,parmesan cheese,-0.0915
flour,parsley,-0.0819
flour,ricotta cheese,-0.0279
garlic,milk,-0.1733
garlic,mozzarella cheese,0.1079
garlic,oregano,0.272
garlic,parmesan cheese,0.2101
garlic,ricotta cheese,0.0757
milk,mozzarella cheese,-0.0566
milk,onion,-0.1016
milk,oregano,-0.123
milk,parmesan cheese,0.004
milk,parsley,-0.0698
milk,pepper,-0.0867
milk,ricotta cheese,-0.0129
milk,salt,0.0724
mozzarella cheese,onion,0.0457
mozzarella cheese,oregano,0.2622
mozzarella cheese,parmesan cheese,0.3198
mozzarella cheese,parsley,0.0672
mozzarella cheese,pepper,0.0729
mozzarella cheese,ricotta cheese,0.4377
mozzarella cheese,salt,-0.0523
onion,oregano,0.1844
onion,parmesan cheese,0.071
onion,parsley,0.147
onion,ricotta cheese,0.0156
oregano,parmesan cheese,0.212
oregano,parsley,0.2003
oregano,pepper,0.1923
oregano,ricotta cheese,0.1891
oregano,salt,0.0866
parmesan cheese,parsley,0.2142
parmesan cheese,pepper,0.1719
parmesan cheese,ricotta cheese,0.3154
parmesan cheese,salt,0.0101
parsley,ricotta cheese,0.12
pepper,ricotta cheese,0.0608
ricotta cheese,salt,0.0156
almond,cinnamon,0.1398
almond,honey,0.1287
almond,oats,0.2077
almond,pumpkin,0.0976
almond,sunflower,0.0845
almond,vanilla,0.1782
barley,cinnamon,-0.028
barley,honey,0.0305
barley,oats,0.0271
barley,pumpkin,0.0306
barley,vanilla,-0.13
cinnamon,honey,0.1408
cinnamon,oats,0.3423
cinnamon,pumpkin,0.3066
cinnamon,sunflower,0.0554
honey,oats,0.2509
honey,pumpkin,0.0513
honey,sunflower,0.1804
honey,vanilla,0.0471
oats,pumpkin,0.1807
oats,sunflower,0.2576
oats,vanilla,0.288
pumpkin,sunflower,0.1523
pumpkin,vanilla,0.1894
sunflower,vanilla,0.0366
lime,onion,0.0403
lime,pepper,0.0551
lime,red wine,-0.0479
lime,salt,0.0363
onion,red wine,0.1273
pepper,red wine,0.1649
red wine,salt,0.0518
butter,gruyere cheese,0.1089
celery,gruyere cheese,-0.0848
celery,olive oil,0.0714
gruyere cheese,olive oil,0.0944
gruyere cheese,pepper,0.118
egg,sugar,0.2193
egg,vanilla,0.2524
flour,vanilla,0.3471
salt,sugar,0.1182
salt,vanilla,0.1391
sugar,vanilla,0.4316
butter,cake,0.0092
butter,rhubarb,0.0855
cake,rhubarb,0.1232
cake,sugar,0.1017
cake,water,0.08
rhubarb,sugar,0.1985
rhubarb,water,0.0743
sugar,water,0.0848
almond,butter,0.0844
almond,coconut,0.2494
almond,flour,0.144
almond,water,-0.0295
butter,coconut,-0.0034
coconut,flour,0.0268
coconut,water,0.0004
avocado,cumin,0.1646
avocado,lime,0.3099
avocado,sour cream,0.0996
cumin,lime,0.2629
cumin,sour cream,0.0995
lime,sour cream,0.0334
buttermilk,flour,0.2753
buttermilk,salt,0.1369
buttermilk,shortening,0.2604
buttermilk,sugar,0.1775
buttermilk,water,-0.0754
flour,shortening,0.269
salt,shortening,0.1327
shortening,sugar,0.2177
shortening,water,0.0816
cherry,mustard,0.0311
cherry,pepper,0.0682
cherry,pine nuts,0.1549
cherry,salt,-0.0134
mustard,pine nuts,-0.007
pepper,pine nuts,0.11
pine nuts,salt,0.0353
cheddar cheese,pasta,0.0473
potato,water,0.0506
chicken,cream cheese,-0.0961
cream cheese,milk,0.0717
cream cheese,pepper,-0.1347
cream cheese,salt,-0.1145
garlic,green beans,0.1104
garlic,lemon,0.0802
green beans,lemon,0.0193
green beans,olive oil,0.1019
green beans,parmesan cheese,0.0326
green beans,pepper,0.1015
green beans,salt,0.0033
lemon,olive oil,0.167
lemon,parmesan cheese,0.002
lemon,pepper,0.0956
lemon,salt,0.0678
olive oil,parmesan cheese,0.2049
ginger,lemon,0.0297
ginger,sauce,0.0333
lemon,sauce,-0.034
garlic,soy sauce,0.1818
garlic,vinegar,0.0976
